id_venta,producto,precio,cantidad,fecha_venta,categoria,precio_num,ingreso,anio_mes,id_cliente,nombre,edad,ciudad,ingresos,segmento_edad
792,Cuadro decorativo,$69.94,5.0,2024-01-02,Decoración,69.94,349.7,2024-01,76,Fionnula Antoniutti,32,Corrientes,8756.53,25-34
811,Lámpara de mesa,$105.10,5.0,2024-01-02,Decoración,105.1,525.5,2024-01,73,Clayborne Lipgens,33,Posadas,53758.89,25-34
1156,Secadora,$97.96,3.0,2024-01-02,Electrodomésticos,97.96,293.88,2024-01,452,Dmitri Lucas,27,Bahía Blanca,50291.04,25-34
1372,Heladera,$114.35,8.0,2024-01-02,Electrodomésticos,114.35,914.8,2024-01,284,Joanie Backler,69,Santa Fe,51581.12,65+
1546,Secadora,$106.21,4.0,2024-01-02,Electrodomésticos,106.21,424.84,2024-01,335,Fin Arthan,25,Merlo,41383.85,25-34
1697,Horno eléctrico,$35.35,9.0,2024-01-02,Electrodomésticos,35.35,318.15000000000003,2024-01,342,Karin Scarff,40,Merlo,42159.96,35-44
1710,Plancha de vapor,$65.43,2.0,2024-01-02,Electrodomésticos,65.43,130.86,2024-01,404,Ab Wilsher,42,Resistencia,29723.13,35-44
2959,Proyector,$88.17,9.0,2024-01-02,Electrónica,88.17,793.53,2024-01,17,Minor Josephy,28,Santa Fe,47018.78,25-34
318,Rincón de plantas,$79.86,11.0,2024-01-03,Decoración,79.86,878.46,2024-01,276,Louisette Coleford,42,Salta,17819.28,35-44
419,Candelabro,$66.11,8.0,2024-01-03,Decoración,66.11,528.88,2024-01,84,Eloisa Hawick,36,Santa Fe,36720.12,35-44
1374,Aspiradora,$95.90,5.0,2024-01-03,Electrodomésticos,95.9,479.5,2024-01,228,Janette Wakeford,27,Córdoba,27749.95,25-34
1571,Freidora eléctrica,$111.18,1.0,2024-01-03,Electrodomésticos,111.18,111.18,2024-01,527,Tony Haresnape,48,Resistencia,37240.07,45-54
1814,Aspiradora,$70.91,2.0,2024-01-03,Electrodomésticos,70.91,141.82,2024-01,311,Cristy Pagett,36,Rosario,36862.8,35-44
2769,Proyector,$43.62,11.0,2024-01-03,Electrónica,43.62,479.82,2024-01,40,Sallie Stubbe,37,Bahía Blanca,28333.21,35-44
2794,Tablet,$67.97,9.0,2024-01-03,Electrónica,67.97,611.73,2024-01,308,Chiarra Cowx,44,Corrientes,41888.56,35-44
2824,Tablet,$74.09,5.0,2024-01-03,Electrónica,74.09,370.45000000000005,2024-01,74,Hadrian Sugg,24,Corrientes,22895.21,<=24
446,Cortinas,$62.10,4.0,2024-01-04,Decoración,62.1,248.4,2024-01,428,Jessee Birmingham,40,Resistencia,27450.93,35-44
630,Adorno de pared,$71.99,9.0,2024-01-04,Decoración,71.99,647.91,2024-01,538,Gerda Witherington,25,Bahía Blanca,17630.01,25-34
794,Jarrón decorativo,$96.97,7.0,2024-01-04,Decoración,96.97,678.79,2024-01,556,Bram Corps,48,Santa Fe,28839.22,45-54
882,Cuadro decorativo,$101.92,9.0,2024-01-04,Decoración,101.92,917.28,2024-01,353,Camey Cloy,54,Rosario,27324.28,45-54
969,Candelabro,$90.70,12.0,2024-01-04,Decoración,90.7,1088.4,2024-01,493,Lu Augar,45,Rosario,27918.94,45-54
1445,Lavadora,$28.41,10.0,2024-01-04,Electrodomésticos,28.41,284.1,2024-01,210,Stephi Ties,38,Bahía Blanca,39717.6,35-44
1971,Freidora eléctrica,$122.25,11.0,2024-01-04,Electrodomésticos,122.25,1344.75,2024-01,83,Mindy Bootes,26,Rosario,19009.84,25-34
2209,Proyector,$32.15,1.0,2024-01-04,Electrónica,32.15,32.15,2024-01,290,Em Conyard,33,Mar del Plata,58953.48,25-34
256,Cortinas,$86.82,8.0,2024-01-05,Decoración,86.82,694.56,2024-01,252,Tammi Deeble,31,Buenos Aires,39860.79,25-34
606,Cortinas,$106.66,11.0,2024-01-05,Decoración,106.66,1173.26,2024-01,376,Marrilee Siley,32,Resistencia,45012.61,25-34
704,Jarrón decorativo,$57.22,9.0,2024-01-05,Decoración,57.22,514.98,2024-01,564,Fleming Gow,39,Santa Fe,43674.96,35-44
1362,Heladera,$109.49,11.0,2024-01-05,Electrodomésticos,109.49,1204.3899999999999,2024-01,157,Westbrook O'Caherny,25,Santa Fe,29982.55,25-34
2155,Auriculares,$84.80,10.0,2024-01-05,Electrónica,84.8,848.0,2024-01,486,Kerwinn Ledur,52,Resistencia,32513.26,45-54
2947,Cámara digital,$107.78,3.0,2024-01-05,Electrónica,107.78,323.34000000000003,2024-01,79,Drusi Seven,32,Corrientes,37982.47,25-34
1495,Lavadora,$38.99,6.0,2024-01-06,Electrodomésticos,38.99,233.94,2024-01,198,Juliann Keiling,62,Santa Fe,60620.67,55-64
1572,Cafetera,$61.40,9.0,2024-01-06,Electrodomésticos,61.4,552.6,2024-01,447,Louise Bellwood,47,Bahía Blanca,59845.2,45-54
2180,Consola de videojuegos,$102.57,9.0,2024-01-06,Electrónica,102.57,923.1299999999999,2024-01,141,Scot Graben,54,Rosario,29351.15,45-54
2487,Cámara digital,$50.76,3.0,2024-01-06,Electrónica,50.76,152.28,2024-01,381,Hartwell Balharrie,43,Resistencia,26112.9,35-44
2603,Smartphone,$87.05,5.0,2024-01-06,Electrónica,87.05,435.25,2024-01,261,Carling Waldocke,50,Mar del Plata,21325.9,45-54
2885,Auriculares,$100.40,6.0,2024-01-06,Electrónica,100.4,602.4000000000001,2024-01,291,Marie-jeanne Johnson,28,Santa Fe,42821.99,25-34
17,Elementos de cerámica,$108.48,11.0,2024-01-07,Decoración,108.48,1193.28,2024-01,534,Graham Cuthbertson,36,Resistencia,48565.08,35-44
183,Espejo decorativo,$82.76,8.0,2024-01-07,Decoración,82.76,662.08,2024-01,464,Zollie McAulay,53,Corrientes,40044.68,45-54
560,Adorno de pared,$57.62,6.0,2024-01-07,Decoración,57.62,345.71999999999997,2024-01,476,Pippy Kubatsch,26,Corrientes,39103.22,25-34
632,Cuadro decorativo,$30.49,12.0,2024-01-07,Decoración,30.49,365.88,2024-01,312,Marcella Gravett,31,San Miguel de Tucumán,20201.52,25-34
699,Candelabro,$34.23,12.0,2024-01-07,Decoración,34.23,410.76,2024-01,557,George Millberg,29,Santa Fe,28030.93,25-34
1150,Plancha de vapor,$33.63,10.0,2024-01-07,Electrodomésticos,33.63,336.3,2024-01,557,George Millberg,29,Santa Fe,28030.93,25-34
1400,Plancha de vapor,$26.91,5.0,2024-01-07,Electrodomésticos,26.91,134.55,2024-01,77,Silvanus Keer,23,Merlo,34822.1,<=24
1496,Secadora,$95.33,11.0,2024-01-07,Electrodomésticos,95.33,1048.6299999999999,2024-01,116,Gabrielle Napolitano,29,Merlo,39892.04,25-34
1524,Aspiradora,$65.55,8.0,2024-01-07,Electrodomésticos,65.55,524.4,2024-01,175,Judy Gerred,24,Corrientes,58465.86,<=24
1550,Plancha de vapor,$51.51,7.0,2024-01-07,Electrodomésticos,51.51,360.57,2024-01,314,Rayner Rumbelow,35,Buenos Aires,53542.72,35-44
2174,Auriculares,$116.04,11.0,2024-01-07,Electrónica,116.04,1276.44,2024-01,468,Corine Lambrook,29,Santa Fe,42288.95,25-34
2773,Smartphone,$107.51,5.0,2024-01-07,Electrónica,107.51,537.5500000000001,2024-01,275,Paolina Francescuzzi,36,Córdoba,50639.49,35-44
2920,Consola de videojuegos,$29.49,2.0,2024-01-07,Electrónica,29.49,58.98,2024-01,558,Ulrikaumeko Silber,52,Resistencia,21856.55,45-54
84,Jarrón decorativo,$37.05,4.0,2024-01-08,Decoración,37.05,148.2,2024-01,201,Elset Simko,38,Santa Fe,35096.15,35-44
349,Candelabro,$57.65,6.0,2024-01-08,Decoración,57.65,345.9,2024-01,527,Tony Haresnape,48,Resistencia,37240.07,45-54
687,Elementos de cerámica,$27.68,8.0,2024-01-08,Decoración,27.68,221.44,2024-01,336,Jaymie Halsey,32,Córdoba,28658.31,25-34
696,Cortinas,$32.57,8.0,2024-01-08,Decoración,32.57,260.56,2024-01,409,Cosimo Bysh,72,Santa Fe,17159.76,65+
1734,Aspiradora,$50.86,4.0,2024-01-08,Electrodomésticos,50.86,203.44,2024-01,134,Florida Ruter,31,Salta,36251.4,25-34
2173,Smartphone,$54.19,12.0,2024-01-08,Electrónica,54.19,650.28,2024-01,336,Jaymie Halsey,32,Córdoba,28658.31,25-34
2283,Smartphone,$70.07,11.0,2024-01-08,Electrónica,70.07,770.77,2024-01,455,Dreddy Lapenna,51,Merlo,36234.75,45-54
2501,Parlantes Bluetooth,$87.78,1.0,2024-01-08,Electrónica,87.78,87.78,2024-01,503,Edi Schankelborg,40,Resistencia,42960.42,35-44
2918,SmartWatch,$82.18,10.0,2024-01-08,Electrónica,82.18,821.8000000000001,2024-01,492,Kora Dowbiggin,31,Buenos Aires,34710.4,25-34
386,Cortinas,$85.71,8.0,2024-01-09,Decoración,85.71,685.68,2024-01,549,Clywd Dimic,26,Corrientes,28118.15,25-34
599,Candelabro,$47.22,5.0,2024-01-09,Decoración,47.22,236.1,2024-01,74,Hadrian Sugg,24,Corrientes,22895.21,<=24
633,Espejo decorativo,$60.39,2.0,2024-01-09,Decoración,60.39,120.78,2024-01,442,Basile Huckle,37,Resistencia,40917.76,35-44
714,Jarrón decorativo,$42.46,8.0,2024-01-09,Decoración,42.46,339.68,2024-01,265,Hanny Ocheltree,52,Corrientes,65107.47,45-54
871,Lámpara de mesa,$79.64,11.0,2024-01-09,Decoración,79.64,876.04,2024-01,389,Dollie Hencke,43,Mar del Plata,46506.19,35-44
1132,Cafetera,$29.88,10.0,2024-01-09,Electrodomésticos,29.88,298.8,2024-01,158,Electra Shilston,35,Posadas,786.77,35-44
1443,Microondas,$67.39,8.0,2024-01-09,Electrodomésticos,67.39,539.12,2024-01,9,Shirl Labone,29,Rosario,27592.08,25-34
1584,Aspiradora,$99.58,7.0,2024-01-09,Electrodomésticos,99.58,697.06,2024-01,48,Herrick Wagen,20,Corrientes,25017.77,<=24
1617,Horno eléctrico,$68.53,8.0,2024-01-09,Electrodomésticos,68.53,548.24,2024-01,552,Tandy Guyot,27,Posadas,41698.13,25-34
1649,Batidora,$39.26,11.0,2024-01-09,Electrodomésticos,39.26,431.85999999999996,2024-01,509,Augusto Rosenstock,40,Córdoba,22912.48,35-44
2917,Cámara digital,$120.87,7.0,2024-01-09,Electrónica,120.87,846.09,2024-01,173,Elton Aloigi,43,Mar del Plata,27861.85,35-44
315,Alfombra,$122.07,9.0,2024-01-10,Decoración,122.07,1098.6299999999999,2024-01,244,Jenn McKendry,48,Posadas,39426.13,45-54
553,Espejo decorativo,$96.29,9.0,2024-01-10,Decoración,96.29,866.61,2024-01,137,Devi Goalley,29,Merlo,34610.42,25-34
817,Elementos de cerámica,$106.31,1.0,2024-01-10,Decoración,106.31,106.31,2024-01,84,Eloisa Hawick,36,Santa Fe,36720.12,35-44
830,Adorno de pared,$67.23,10.0,2024-01-10,Decoración,67.23,672.3000000000001,2024-01,487,Bambi Ingleson,32,Santa Fe,31017.57,25-34
854,Jarrón decorativo,$42.83,5.0,2024-01-10,Decoración,42.83,214.14999999999998,2024-01,382,Ola Blethin,47,Corrientes,35159.67,45-54
1090,Plancha de vapor,$66.15,8.0,2024-01-10,Electrodomésticos,66.15,529.2,2024-01,44,Yettie Fritchley,37,Merlo,29665.37,35-44
1464,Aspiradora,$36.38,5.0,2024-01-10,Electrodomésticos,36.38,181.9,2024-01,115,Diandra Longcake,65,Corrientes,45292.27,65+
